"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.130736717E2,5.311058193E1,8.884350156E0,9.755082671E-1,4.912814059E0,3.123050078E2,5.082935318E0,5.082935318E0
2.140736562E2,5.311059724E1,8.884283061E0,1.077689709E0,4.658972418E0,3.051448946E2,5.092891971E0,5.092891971E0
2.150736414E2,5.311060667E1,8.884216894E0,4.351555984E-1,4.283559283E0,2.979554072E2,5.086747949E0,5.086747949E0
2.160736314E2,5.311063843E1,8.884151617E0,1.138918978E0,4.577783790E0,3.041083201E2,5.099235031E0,5.099235031E0
2.170736120E2,5.311064918E1,8.884075801E0,9.549680389E-1,4.424230609E0,2.962636267E2,5.099130601E0,5.099130601E0
2.180735971E2,5.311067092E1,8.884003205E0,1.234352076E0,4.615311606E0,2.997054897E2,5.085446435E0,5.085446435E0
2.190735855E2,5.311069695E1,8.883930364E0,1.317358787E0,4.794204172E0,3.019486146E2,5.073597541E0,5.073597541E0
2.200735668E2,5.311071451E1,8.883859121E0,1.946625246E0,4.628332772E0,2.983455483E2,5.045795658E0,5.045795658E0
2.210735518E2,5.311074336E1,8.883802721E0,1.600011787E0,4.306308138E0,3.046550255E2,5.029357283E0,5.029357283E0
2.220735373E2,5.311076049E1,8.883758432E0,2.022343145E0,3.527589630E0,3.068030677E2,4.992531901E0,4.992531901E0
2.230735224E2,5.311078271E1,8.883688213E0,2.471746004E0,3.637907284E0,2.999437859E2,4.964629450E0,4.964629450E0
2.240735130E2,5.311080381E1,8.883632984E0,1.951535854E0,3.557394955E0,3.009796249E2,4.949630115E0,4.949630115E0
2.250734946E2,5.311082338E1,8.883574052E0,2.938420475E0,3.533444562E0,2.991956826E2,4.932487625E0,4.932487625E0
2.260734822E2,5.311084053E1,8.883496418E0,1.316837461E0,4.062863533E0,2.930363060E2,4.924178166E0,4.924178166E0
2.270734657E2,5.311086448E1,8.883430102E0,2.632349803E0,4.418099038E0,2.945842695E2,4.905235066E0,4.905235066E0
2.280734495E2,5.311088530E1,8.883364731E0,2.743623977E0,4.532604497E0,2.960985030E2,4.921030602E0,4.921030602E0
2.290734341E2,5.311090691E1,8.883291702E0,2.168052919E0,4.701778874E0,2.958412693E2,4.955250564E0,4.955250564E0
2.300734186E2,5.311092767E1,8.883224915E0,1.807220472E0,4.667630956E0,2.983296392E2,4.966509692E0,4.966509692E0
2.310734043E2,5.311094739E1,8.883168214E0,1.780610681E0,4.300316036E0,2.998900954E2,4.964730815E0,4.964730815E0
2.320733951E2,5.311097427E1,8.883094061E0,2.187647565E0,4.541512059E0,2.990756340E2,4.964128254E0,4.964128254E0
